id,name_en,name_ja,name_kana,category,prefecture,address,Lien google map,city,score
1171502,Tsuyamaguchi Station,津山口,,station,Okayama,"Tsuyamaguchi, Tsuyama, Okayama 708-0884, Japan",https://www.google.com/maps/place/?q=place_id:ChIJMV8Ga_gwVDURNUCFKoibdxk,Tsuyama,10
1171503,Sarayama Station,佐良山,,station,Okayama,"Takao, Tsuyama, Okayama 708-0876, Japan",https://www.google.com/maps/place/?q=place_id:ChIJv7kbiKE6VDURXgMUhBcytvI,Tsuyama,10
1171504,Kamenokō Station,亀甲,,station,Okayama,"Harada, Misaki, Kume District, Okayama 709-3717, Japan",https://www.google.com/maps/place/?q=place_id:ChIJVQXWPSE7VDURP0uFBBKa_kQ,Misaki,10
1171505,Obara Station,小原,,station,Okayama,"Obara, Misaki, Kume District, Okayama 709-3714, Japan",https://www.google.com/maps/place/?q=place_id:ChIJJdmoF147VDUROXrDCGSL8Rc,Misaki,10
1171506,Tanjōji Station,誕生寺,,station,Okayama,"Satogata, Kumenan, Kume District, Okayama 709-3602, Japan",https://www.google.com/maps/place/?q=place_id:ChIJkSZWk748VDUR5znkPMLamxs,Kumenan,10
1171507,Yuge Station,弓削,,station,Okayama,"Shimoyuge, Kumenan, Kume District, Okayama 709-3614, Japan",https://www.google.com/maps/place/?q=place_id:ChIJNY7eCiQ9VDURFjq6muJlFJg,Kumenan,10
1171508,Kōme Station,神目,,station,Okayama,"Komenaka, Kumenan, Kume District, Okayama 709-3627, Japan",https://www.google.com/maps/place/?q=place_id:ChIJMY4CtxoYVDURdx85kVahNq8,Kumenan,10
1171509,Fukuwatari Station,福渡,,station,Okayama,"Takebecho Fukuwatari, Kita Ward, Okayama, 709-3111, Japan",https://www.google.com/maps/place/?q=place_id:ChIJOZ6VJwoZVDURDDTp0C4KuUw,Okayama,10
1171510,Takebe Station,建部,,station,Okayama,"Takebecho Nakada, Kita Ward, Okayama, 709-3132, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ99-xxtEbVDUR6kcwce_qBso,Okayama,10
1171511,Kanagawa Station,金川,,station,Okayama,"Mitsukanagawa, Kita Ward, Okayama, 709-2133, Japan",https://www.google.com/maps/place/?q=place_id:ChIJq6ObgY8aVDURg-wfbBw_06Y,Okayama,10
1171512,Nonokuchi Station,野々口,,station,Okayama,"Mitsunonokuchi, Kita Ward, Okayama, 709-2117, Japan",https://www.google.com/maps/place/?q=place_id:ChIJmeHcRLAaVDURDi9Ohw9a304,Okayama,10
1171513,Makiyama Station,牧山,,station,Okayama,"Shimomaki, Kita Ward, Okayama, 701-2143, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ93-RXegPVDURfXJacP8s9GE,Okayama,10
1171514,Tamagashi Station,玉柏,,station,Okayama,"Tamagashi, Kita Ward, Okayama, 701-2142, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ1xqjoqEPVDURzlCqUMe-YbU,Okayama,10
1171515,Bizen-Hara Station,備前原,,station,Okayama,"Hara, Kita Ward, Okayama, 701-2154, Japan",https://www.google.com/maps/place/?q=place_id:ChIJHffWcmAPVDURTNShUADy4vw,Okayama,10
1171516,Hōkaiin Station,法界院,,station,Okayama,"3 Chome-11 Gakunancho, Kita Ward, Okayama, 700-0011, Japan",https://www.google.com/maps/place/?q=place_id:ChIJYwr2ehIGVDURyCfndhyIq4E,Okayama,10
1171603,Sunami Station,須波,,station,Hiroshima,"5 Sunami, Mihara, Hiroshima 723-0031, Japan",https://www.google.com/maps/place/?q=place_id:ChIJTefxvpZWUDURQ7EtG5Kl4eo,Mihara,10
1171604,Aki-Saizaki Station,安芸幸崎,,station,Hiroshima,"3 Chome-4 Saizakinoji, Mihara, Hiroshima 729-2252, Japan",https://www.google.com/maps/place/?q=place_id:ChIJP3kj3PJQUDURfAeiQVwhqNc,Mihara,10
1171605,Tadano-Umi Station,忠海,,station,Hiroshima,"1 Chome-1 Tadanoumi Nakamachi, Takehara, Hiroshima 729-2316, Japan",https://www.google.com/maps/place/?q=place_id:ChIJhSMPkuhaUDURD5NGKk6Ldac,Takehara,10
